customer_id,email,age,city,plan,tenure_months,monthly_charge,support_calls,satisfaction,churned
CUST-1000,user0@example.com,61,Glasgow,basic,15,14,3,1,1
CUST-1001,user1@example.com,31,Leeds,basic,55,10,1,5,0
CUST-1002,user2@example.com,35,London,premium,4,63,8,2,1
CUST-1003,user3@example.com,31,Bristol,standard,55,34,2,1,0
CUST-1004,user4@example.com,69,London,standard,12,31,5,,1
CUST-1005,user5@example.com,23,Glasgow,premium,59,61,6,3,0
CUST-1006,user6@example.com,36,London,premium,47,63,1,2,0
CUST-1007,user7@example.com,58,Bristol,standard,13,34,7,2,1
CUST-1008,user8@example.com,22,Glasgow,standard,48,33,4,,0
CUST-1009,user9@example.com,47,Manchester,premium,22,63,2,3,0
CUST-1010,user10@example.com,32,London,basic,72,20,5,3,0
CUST-1011,user11@example.com,76,Glasgow,standard,52,31,3,,0
CUST-1012,user12@example.com,47,Leeds,basic,41,20,7,3,0
CUST-1013,user13@example.com,34,Glasgow,basic,18,18,8,4,1
CUST-1014,user14@example.com,21,London,standard,52,33,2,2,0
CUST-1015,user15@example.com,42,Manchester,premium,21,66,1,5,0
CUST-1016,user16@example.com,64,London,premium,60,64,8,,1
CUST-1017,user17@example.com,25,Bristol,standard,69,40,5,4,0
CUST-1018,user18@example.com,50,London,standard,21,30,4,,1
CUST-1019,user19@example.com,27,Bristol,premium,39,68,3,2,0
CUST-1020,user20@example.com,41,Bristol,premium,70,60,5,2,0
CUST-1021,user21@example.com,23,Manchester,basic,8,19,1,1,1
CUST-1022,user22@example.com,51,Glasgow,basic,69,12,7,4,1
CUST-1023,user23@example.com,43,Bristol,premium,28,63,4,4,1
CUST-1024,user24@example.com,55,Glasgow,standard,67,31,3,2,0
CUST-1025,user25@example.com,32,London,basic,29,11,0,1,0
CUST-1026,user26@example.com,52,Leeds,basic,43,18,3,,0
CUST-1027,user27@example.com,30,London,basic,61,17,6,1,1
CUST-1028,user28@example.com,61,London,standard,56,36,6,1,0
CUST-1029,user29@example.com,33,Leeds,premium,52,65,1,2,0
CUST-1030,user30@example.com,73,London,standard,69,32,6,4,0
CUST-1031,user31@example.com,71,London,basic,71,10,8,1,1
CUST-1032,user32@example.com,75,London,basic,31,16,7,2,0
CUST-1033,user33@example.com,77,Manchester,basic,49,16,4,3,0
CUST-1034,user34@example.com,21,Glasgow,premium,55,68,7,,1
CUST-1035,user35@example.com,21,Glasgow,basic,70,15,0,4,0
CUST-1036,user36@example.com,29,London,premium,65,62,0,5,0
CUST-1037,user37@example.com,25,Glasgow,premium,9,63,6,2,1
CUST-1038,user38@example.com,38,Bristol,premium,6,61,6,2,1
CUST-1039,user39@example.com,26,Bristol,basic,41,14,6,4,0
CUST-1040,user40@example.com,24,London,basic,41,10,7,5,0
CUST-1041,user41@example.com,77,Bristol,premium,28,64,2,1,0
CUST-1042,user42@example.com,37,Glasgow,standard,32,34,2,,0
CUST-1043,user43@example.com,37,London,basic,68,20,8,2,1
CUST-1044,user44@example.com,31,Bristol,basic,34,11,8,2,1
CUST-1045,user45@example.com,75,London,premium,34,67,4,1,1
CUST-1046,user46@example.com,34,Leeds,standard,55,30,0,,0
CUST-1047,user47@example.com,18,London,premium,57,66,8,1,1
CUST-1048,user48@example.com,26,London,premium,20,60,5,3,1
CUST-1049,user49@example.com,61,Leeds,basic,47,15,3,,0
CUST-1050,user50@example.com,77,Leeds,standard,14,38,6,2,1
CUST-1051,user51@example.com,65,Bristol,standard,23,30,2,4,0
CUST-1052,user52@example.com,48,Leeds,standard,32,32,1,2,0
CUST-1053,user53@example.com,32,London,standard,59,34,3,,0
CUST-1054,user54@example.com,35,Bristol,standard,25,35,4,,1
CUST-1055,user55@example.com,39,London,standard,66,40,8,1,0
CUST-1056,user56@example.com,40,Bristol,basic,34,19,4,4,1
CUST-1057,user57@example.com,34,London,basic,66,16,3,,0
CUST-1058,user58@example.com,65,Leeds,basic,56,18,8,3,0
CUST-1059,user59@example.com,57,Bristol,basic,56,20,5,,0
CUST-1060,user60@example.com,43,Bristol,premium,16,64,8,5,1
CUST-1061,user61@example.com,61,Leeds,basic,17,16,6,5,1
CUST-1062,user62@example.com,68,Glasgow,standard,39,38,0,5,0
CUST-1063,user63@example.com,61,Leeds,standard,42,37,7,5,1
CUST-1064,user64@example.com,57,Bristol,premium,61,62,1,1,0
CUST-1065,user65@example.com,69,Leeds,premium,31,64,3,2,1
CUST-1066,user66@example.com,47,Manchester,basic,4,13,7,,1
CUST-1067,user67@example.com,43,Leeds,premium,25,66,7,2,1
CUST-1068,user68@example.com,51,Manchester,basic,1,16,3,1,1
CUST-1069,user69@example.com,26,Manchester,basic,72,11,7,,1
CUST-1070,user70@example.com,57,Glasgow,premium,68,69,5,4,1
CUST-1071,user71@example.com,46,Bristol,standard,71,32,7,2,0
CUST-1072,user72@example.com,36,Leeds,premium,36,67,3,3,0
CUST-1073,user73@example.com,26,Leeds,standard,43,38,1,2,0
CUST-1074,user74@example.com,52,Manchester,premium,50,62,3,4,1
CUST-1075,user75@example.com,75,Glasgow,basic,8,16,6,,1
CUST-1076,user76@example.com,66,Manchester,premium,3,66,7,4,1
